index,reactant,reagent,product,catalyst,methanol_sty,time_h,temperature_c,pressure_bar,h2_co2_ratio,ghsv_h-1,catalyst_components_count,catalyst_primary_loading_wt,source_dataset
themecat-19,O=C=O,[H][H],CO,[Cu].[Zn].[Zr],7.9,1.0,219.85,30.0,3.0,4.4,3.0,53.3,themecat
themecat-20,O=C=O,[H][H],CO,[Cu].[Zn].[Zr],6.08,1.0,199.85,30.0,3.0,4.4,3.0,53.3,themecat
themecat-21,O=C=O,[H][H],CO,[Cu].[Zn].[Zr],5.2,1.0,219.85,10.0,3.0,4.4,3.0,53.3,themecat
themecat-22,O=C=O,[H][H],CO,[Cu].[Zn].[Zr],4.6899999999999995,1.0,199.85,10.0,3.0,4.4,3.0,53.3,themecat
themecat-23,O=C=O,[H][H],CO,[Cu].[Zn].[Zr],3.7199999999999998,1.0,239.85,10.0,3.0,4.4,3.0,53.3,themecat
themecat-24,O=C=O,[H][H],CO,[Cu].[Zn].[Zr],6.7299999999999995,1.0,159.85000000000002,30.0,3.0,8.8,3.0,53.3,themecat
themecat-25,O=C=O,[H][H],CO,[Cu].[Zn].[Zr],11.3,1.0,179.85000000000002,30.0,3.0,8.8,3.0,53.3,themecat
themecat-26,O=C=O,[H][H],CO,[Cu].[Zn].[Zr],15.909999999999998,1.0,199.85,30.0,3.0,8.8,3.0,53.3,themecat
themecat-27,O=C=O,[H][H],CO,[Cu].[Zn].[Zr],2.11,1.0,159.85000000000002,10.0,3.0,8.8,3.0,53.3,themecat
themecat-28,O=C=O,[H][H],CO,[Cu].[Zn].[Zr],4.1000000000000005,1.0,179.85000000000002,10.0,3.0,8.8,3.0,53.3,themecat
themecat-29,O=C=O,[H][H],CO,[Cu].[Zn].[Zr],6.5600000000000005,1.0,199.85,10.0,3.0,8.8,3.0,53.3,themecat
themecat-30,O=C=O,[H][H],CO,[Cu].[Zn].[Al],6.88,1.0,159.85000000000002,30.0,3.0,8.8,3.0,37.9,themecat
themecat-31,O=C=O,[H][H],CO,[Cu].[Zn].[Al],8.76,1.0,179.85000000000002,30.0,3.0,8.8,3.0,37.9,themecat
themecat-32,O=C=O,[H][H],CO,[Cu].[Zn].[Al],10.61,1.0,199.85,30.0,3.0,8.8,3.0,37.9,themecat
themecat-33,O=C=O,[H][H],CO,[Cu].[Zn].[Al],1.8399999999999999,1.0,159.85000000000002,10.0,3.0,8.8,3.0,37.9,themecat
themecat-34,O=C=O,[H][H],CO,[Cu].[Zn].[Al],2.97,1.0,179.85000000000002,10.0,3.0,8.8,3.0,37.9,themecat
themecat-35,O=C=O,[H][H],CO,[Cu].[Zn].[Al],4.6899999999999995,1.0,199.85,10.0,3.0,8.8,3.0,37.9,themecat
themecat-36,O=C=O,[H][H],CO,[Pd].[Zn],0.0,1.0,249.85,20.0,3.0,36.2,2.0,96.1,themecat
themecat-37,O=C=O,[H][H],CO,[Pd].[Zn],0.0,1.0,249.85,20.0,3.0,36.2,2.0,96.1,themecat
themecat-38,O=C=O,[H][H],CO,[Pd].[Zn],0.0,1.0,249.85,20.0,3.0,36.2,2.0,96.1,themecat
themecat-39,O=C=O,[H][H],CO,[Pd].[Zn],1.02,1.0,249.85,20.0,3.0,36.2,2.0,96.1,themecat
themecat-40,O=C=O,[H][H],CO,[Pd].[Zn],1.05,1.0,249.85,20.0,3.0,36.2,2.0,96.1,themecat
themecat-41,O=C=O,[H][H],CO,[Pd].[Zn],1.6199999999999999,1.0,249.85,20.0,3.0,36.2,2.0,96.1,themecat
themecat-42,O=C=O,[H][H],CO,[Pd].[Zn],2.19,1.0,249.85,20.0,3.0,36.2,2.0,96.1,themecat
themecat-43,O=C=O,[H][H],CO,[Pd].[Zn],2.2800000000000002,1.0,249.85,20.0,3.0,36.2,2.0,96.1,themecat
themecat-44,O=C=O,[H][H],CO,[Pd].[Zn],8.49,1.0,249.85,20.0,3.0,36.2,2.0,99.2,themecat
themecat-45,O=C=O,[H][H],CO,[Pd].[Zn],15.57,1.0,249.85,20.0,3.0,36.2,2.0,99.2,themecat
themecat-46,O=C=O,[H][H],CO,[Pd].[Zn],19.09,1.0,249.85,20.0,3.0,36.2,2.0,96.1,themecat
themecat-47,O=C=O,[H][H],CO,[Pd].[Zn],48.6,1.0,249.85,20.0,3.0,36.2,2.0,96.1,themecat
themecat-48,O=C=O,[H][H],CO,[Pd].[Zn],48.6,1.0,249.85,20.0,3.0,36.2,2.0,96.1,themecat
themecat-49,O=C=O,[H][H],CO,[Pd].[Zn],50.339999999999996,1.0,249.85,20.0,3.0,36.2,2.0,96.1,themecat
themecat-50,O=C=O,[H][H],CO,[Pd].[Zn],55.230000000000004,1.0,249.85,20.0,3.0,36.2,2.0,96.1,themecat
themecat-51,O=C=O,[H][H],CO,[Pd].[Zn],67.05,1.0,249.85,20.0,3.0,36.2,2.0,96.1,themecat
themecat-52,O=C=O,[H][H],CO,[Pd].[Zn],77.39,1.0,249.85,20.0,3.0,36.2,2.0,96.1,themecat
themecat-53,O=C=O,[H][H],CO,[Pd].[Zn],78.11,1.0,249.85,20.0,3.0,36.2,2.0,96.1,themecat
themecat-54,O=C=O,[H][H],CO,[Pd].[Zn],78.95,1.0,249.85,20.0,3.0,36.2,2.0,96.1,themecat
themecat-55,O=C=O,[H][H],CO,[Cu].[Al],9.120000000000001,1.0,199.85,36.0,3.8,10.6,2.0,74.0,themecat
themecat-56,O=C=O,[H][H],CO,[Cu].[Al],7.35,1.0,169.85000000000002,36.0,3.8,10.6,2.0,74.0,themecat
themecat-57,O=C=O,[H][H],CO,[Cu].[Al],5.29,1.0,229.85,36.0,3.8,10.6,2.0,74.0,themecat
themecat-58,O=C=O,[H][H],CO,[Cu].[Al],4.12,1.0,229.85,10.0,3.8,10.6,2.0,74.0,themecat
themecat-59,O=C=O,[H][H],CO,[Cu].[Al],3.82,1.0,279.85,36.0,3.8,10.6,2.0,74.0,themecat
themecat-60,O=C=O,[H][H],CO,[Cu].[Al],3.53,1.0,259.85,36.0,3.8,10.6,2.0,74.0,themecat
themecat-61,O=C=O,[H][H],CO,[Cu].[Al],3.2399999999999998,1.0,199.85,10.0,3.8,10.6,2.0,74.0,themecat
themecat-62,O=C=O,[H][H],CO,[Cu].[Al],2.35,1.0,229.85,3.0,3.8,10.6,2.0,74.0,themecat
themecat-63,O=C=O,[H][H],CO,[Cu].[Al],2.35,1.0,279.85,3.0,3.8,10.6,2.0,74.0,themecat
themecat-64,O=C=O,[H][H],CO,[Cu].[Al],2.06,1.0,259.85,3.0,3.8,10.6,2.0,74.0,themecat
themecat-65,O=C=O,[H][H],CO,[Cu].[Al],2.06,1.0,259.85,10.0,3.8,10.6,2.0,74.0,themecat
themecat-66,O=C=O,[H][H],CO,[Cu].[Al],2.06,1.0,279.85,10.0,3.8,10.6,2.0,74.0,themecat
themecat-67,O=C=O,[H][H],CO,[Cu].[Al],1.76,1.0,169.85000000000002,10.0,3.8,10.6,2.0,74.0,themecat
themecat-68,O=C=O,[H][H],CO,[Cu].[Al],1.47,1.0,199.85,3.0,3.8,10.6,2.0,74.0,themecat
themecat-69,O=C=O,[H][H],CO,[Cu].[Al],1.18,1.0,169.85000000000002,3.0,3.8,10.6,2.0,74.0,themecat
themecat-70,O=C=O,[H][H],CO,[Cu].[Al],0.88,1.0,279.85,0.4,3.8,10.6,2.0,74.0,themecat
themecat-71,O=C=O,[H][H],CO,[Cu].[Al],0.59,1.0,229.85,0.4,3.8,10.6,2.0,74.0,themecat
themecat-72,O=C=O,[H][H],CO,[Cu].[Al],0.59,1.0,259.85,0.4,3.8,10.6,2.0,74.0,themecat
themecat-73,O=C=O,[H][H],CO,[Cu].[Al],0.29,1.0,199.85,0.4,3.8,10.6,2.0,74.0,themecat
themecat-74,O=C=O,[H][H],CO,[Cu].[Al],0.29,1.0,169.85000000000002,0.4,3.8,10.6,2.0,74.0,themecat
themecat-75,O=C=O,[H][H],CO,[Cu].[K].[Al],1.76,1.0,279.85,36.0,3.8,10.6,3.0,65.8,themecat
themecat-76,O=C=O,[H][H],CO,[Cu].[K].[Al],1.18,1.0,199.85,36.0,3.8,10.6,3.0,65.8,themecat
themecat-77,O=C=O,[H][H],CO,[Cu].[K].[Al],0.88,1.0,259.85,36.0,3.8,10.6,3.0,65.8,themecat
themecat-78,O=C=O,[H][H],CO,[Cu].[K].[Al],0.59,1.0,169.85000000000002,3.0,3.8,10.6,3.0,65.8,themecat
themecat-79,O=C=O,[H][H],CO,[Cu].[K].[Al],0.59,1.0,199.85,0.4,3.8,10.6,3.0,65.8,themecat
themecat-80,O=C=O,[H][H],CO,[Cu].[K].[Al],0.59,1.0,199.85,3.0,3.8,10.6,3.0,65.8,themecat
themecat-81,O=C=O,[H][H],CO,[Cu].[K].[Al],0.59,1.0,169.85000000000002,36.0,3.8,10.6,3.0,65.8,themecat
themecat-82,O=C=O,[H][H],CO,[Cu].[K].[Al],0.59,1.0,199.85,10.0,3.8,10.6,3.0,65.8,themecat
themecat-83,O=C=O,[H][H],CO,[Cu].[K].[Al],0.59,1.0,229.85,10.0,3.8,10.6,3.0,65.8,themecat
themecat-84,O=C=O,[H][H],CO,[Cu].[K].[Al],0.59,1.0,259.85,3.0,3.8,10.6,3.0,65.8,themecat
themecat-85,O=C=O,[H][H],CO,[Cu].[K].[Al],0.59,1.0,229.85,36.0,3.8,10.6,3.0,65.8,themecat
themecat-86,O=C=O,[H][H],CO,[Cu].[K].[Al],0.59,1.0,279.85,10.0,3.8,10.6,3.0,65.8,themecat
themecat-87,O=C=O,[H][H],CO,[Cu].[K].[Al],0.29,1.0,169.85000000000002,0.4,3.8,10.6,3.0,65.8,themecat
themecat-88,O=C=O,[H][H],CO,[Cu].[K].[Al],0.29,1.0,169.85000000000002,10.0,3.8,10.6,3.0,65.8,themecat
themecat-89,O=C=O,[H][H],CO,[Cu].[K].[Al],0.29,1.0,229.85,0.4,3.8,10.6,3.0,65.8,themecat
themecat-90,O=C=O,[H][H],CO,[Cu].[K].[Al],0.29,1.0,229.85,3.0,3.8,10.6,3.0,65.8,themecat
themecat-91,O=C=O,[H][H],CO,[Cu].[K].[Al],0.29,1.0,259.85,0.4,3.8,10.6,3.0,65.8,themecat
themecat-92,O=C=O,[H][H],CO,[Cu].[K].[Al],0.29,1.0,259.85,10.0,3.8,10.6,3.0,65.8,themecat
themecat-93,O=C=O,[H][H],CO,[Cu].[K].[Al],0.29,1.0,279.85,3.0,3.8,10.6,3.0,65.8,themecat
themecat-94,O=C=O,[H][H],CO,[Cu].[K].[Al],0.29,1.0,279.85,0.4,3.8,10.6,3.0,65.8,themecat
themecat-95,O=C=O,[H][H],CO,[Cu].[Ba].[Al],40.589999999999996,1.0,279.85,36.0,3.8,10.6,3.0,71.4,themecat
themecat-96,O=C=O,[H][H],CO,[Cu].[Ba].[Al],34.12,1.0,279.85,3.0,3.8,10.6,3.0,71.4,themecat
themecat-97,O=C=O,[H][H],CO,[Cu].[Ba].[Al],7.35,1.0,199.85,36.0,3.8,10.6,3.0,71.4,themecat
themecat-98,O=C=O,[H][H],CO,[Cu].[Ba].[Al],6.77,1.0,279.85,10.0,3.8,10.6,3.0,71.4,themecat
themecat-99,O=C=O,[H][H],CO,[Cu].[Ba].[Al],5.59,1.0,229.85,36.0,3.8,10.6,3.0,71.4,themecat
themecat-100,O=C=O,[H][H],CO,[Cu].[Ba].[Al],5.0,1.0,199.85,10.0,3.8,10.6,3.0,71.4,themecat
themecat-101,O=C=O,[H][H],CO,[Cu].[Ba].[Al],4.12,1.0,229.85,3.0,3.8,10.6,3.0,71.4,themecat
themecat-102,O=C=O,[H][H],CO,[Cu].[Ba].[Al],4.12,1.0,229.85,10.0,3.8,10.6,3.0,71.4,themecat
themecat-103,O=C=O,[H][H],CO,[Cu].[Ba].[Al],3.82,1.0,259.85,36.0,3.8,10.6,3.0,71.4,themecat
themecat-104,O=C=O,[H][H],CO,[Cu].[Ba].[Al],3.53,1.0,169.85000000000002,36.0,3.8,10.6,3.0,71.4,themecat
themecat-105,O=C=O,[H][H],CO,[Cu].[Ba].[Al],3.53,1.0,259.85,3.0,3.8,10.6,3.0,71.4,themecat
themecat-106,O=C=O,[H][H],CO,[Cu].[Ba].[Al],3.2399999999999998,1.0,259.85,10.0,3.8,10.6,3.0,71.4,themecat
themecat-107,O=C=O,[H][H],CO,[Cu].[Ba].[Al],2.94,1.0,199.85,3.0,3.8,10.6,3.0,71.4,themecat
themecat-108,O=C=O,[H][H],CO,[Cu].[Ba].[Al],1.18,1.0,169.85000000000002,10.0,3.8,10.6,3.0,71.4,themecat
themecat-109,O=C=O,[H][H],CO,[Cu].[Ba].[Al],1.18,1.0,199.85,0.4,3.8,10.6,3.0,71.4,themecat
themecat-110,O=C=O,[H][H],CO,[Cu].[Ba].[Al],1.18,1.0,259.85,0.4,3.8,10.6,3.0,71.4,themecat
themecat-111,O=C=O,[H][H],CO,[Cu].[Ba].[Al],0.88,1.0,169.85000000000002,3.0,3.8,10.6,3.0,71.4,themecat
themecat-112,O=C=O,[H][H],CO,[Cu].[Ba].[Al],0.88,1.0,229.85,0.4,3.8,10.6,3.0,71.4,themecat
themecat-113,O=C=O,[H][H],CO,[Cu].[Ba].[Al],0.88,1.0,279.85,0.4,3.8,10.6,3.0,71.4,themecat
themecat-114,O=C=O,[H][H],CO,[Cu].[Ba].[Al],0.08,1.0,169.85000000000002,0.4,3.8,10.6,3.0,71.4,themecat
themecat-115,O=C=O,[H][H],CO,[Ir].[In],16.830000000000002,1.0,299.85,40.0,3.0,12.0,2.0,99.5384,themecat
themecat-116,O=C=O,[H][H],CO,[Ir].[In],15.299999999999999,1.0,299.85,40.0,3.0,12.0,2.0,99.8845,themecat
themecat-117,O=C=O,[H][H],CO,[Ir].[In],13.01,1.0,299.85,40.0,3.0,12.0,2.0,99.7691,themecat
themecat-118,O=C=O,[H][H],CO,[Ir].[In],11.78,1.0,279.85,40.0,3.0,12.0,2.0,99.5384,themecat
themecat-119,O=C=O,[H][H],CO,[Ir].[In],10.07,1.0,279.85,40.0,3.0,12.0,2.0,99.7691,themecat
themecat-120,O=C=O,[H][H],CO,[Ir].[In],10.02,1.0,279.85,40.0,3.0,12.0,2.0,99.8845,themecat
themecat-121,O=C=O,[H][H],CO,[Ir].[In],6.52,1.0,259.85,40.0,3.0,12.0,2.0,99.7691,themecat
themecat-122,O=C=O,[H][H],CO,[Ir].[In],6.329999999999999,1.0,259.85,40.0,3.0,12.0,2.0,99.5384,themecat
themecat-123,O=C=O,[H][H],CO,[Ir].[In],5.75,1.0,259.85,40.0,3.0,12.0,2.0,99.8845,themecat
themecat-124,O=C=O,[H][H],CO,[Ir].[In],3.93,1.0,239.85,40.0,3.0,12.0,2.0,99.8845,themecat
themecat-125,O=C=O,[H][H],CO,[Ir].[In],3.84,1.0,239.85,40.0,3.0,12.0,2.0,99.5384,themecat
themecat-126,O=C=O,[H][H],CO,[Ir].[In],2.11,1.0,239.85,40.0,3.0,12.0,2.0,99.7691,themecat
themecat-127,O=C=O,[H][H],CO,[In].[Fe],10.54,1.0,249.85,40.0,5.0,12.0,2.0,98.0,themecat
themecat-128,O=C=O,[H][H],CO,[In].[Fe],29.549999999999997,1.0,249.85,40.0,5.0,12.0,2.0,93.8,themecat
themecat-129,O=C=O,[H][H],CO,[In].[Fe],32.14,1.0,249.85,40.0,5.0,12.0,2.0,85.3,themecat
themecat-130,O=C=O,[H][H],CO,[In].[Fe],71.93,1.0,249.85,40.0,5.0,180.0,2.0,98.0,themecat
themecat-131,O=C=O,[H][H],CO,[In].[Fe],79.2,1.0,249.85,40.0,5.0,180.0,2.0,93.8,themecat
themecat-132,O=C=O,[H][H],CO,[In].[Fe],110.77,1.0,249.85,40.0,5.0,240.0,2.0,89.6,themecat
themecat-133,O=C=O,[H][H],CO,[Fe],1.6500000000000001,1.0,249.85,40.0,5.0,12.0,1.0,100.0,themecat
themecat-134,O=C=O,[H][H],CO,[In].[Si],3.84,1.0,249.85,40.0,5.0,12.0,2.0,97.1,themecat
themecat-135,O=C=O,[H][H],CO,[In].[Fe],14.24,1.0,249.85,40.0,5.0,12.0,2.0,89.6,themecat
themecat-136,O=C=O,[H][H],CO,[In].[Fe],20.200000000000003,1.0,249.85,40.0,5.0,12.0,2.0,89.6,themecat
themecat-137,O=C=O,[H][H],CO,[In].[Fe],31.330000000000002,1.0,249.85,40.0,5.0,12.0,2.0,89.6,themecat
themecat-138,O=C=O,[H][H],CO,[In].[Fe],24.21,1.0,249.85,40.0,5.0,12.0,2.0,89.6,themecat
themecat-139,O=C=O,[H][H],CO,[In].[Fe],12.82,1.0,249.85,40.0,5.0,12.0,2.0,89.6,themecat
themecat-140,O=C=O,[H][H],CO,[In].[Fe],20.03,1.0,249.85,40.0,5.0,12.0,2.0,89.6,themecat
themecat-141,O=C=O,[H][H],CO,[In].[Fe],22.29,1.0,249.85,40.0,5.0,12.0,2.0,89.6,themecat
themecat-142,O=C=O,[H][H],CO,[In].[Fe],31.330000000000002,1.0,249.85,40.0,5.0,12.0,2.0,89.6,themecat
themecat-143,O=C=O,[H][H],CO,[In].[Fe],22.7,1.0,249.85,40.0,5.0,12.0,2.0,89.6,themecat
themecat-144,O=C=O,[H][H],CO,[In].[Fe],20.200000000000003,1.0,249.85,40.0,5.0,12.0,2.0,89.6,themecat
themecat-145,O=C=O,[H][H],CO,[In].[Fe],30.72,1.0,249.85,40.0,5.0,12.0,2.0,89.6,themecat
themecat-146,O=C=O,[H][H],CO,[In].[Fe],42.14,1.0,249.85,40.0,5.0,18.0,2.0,89.6,themecat
themecat-147,O=C=O,[H][H],CO,[In].[Fe],48.59,1.0,249.85,40.0,5.0,24.0,2.0,89.6,themecat
themecat-148,O=C=O,[H][H],CO,[In].[Fe],54.410000000000004,1.0,249.85,40.0,5.0,30.0,2.0,89.6,themecat
themecat-149,O=C=O,[H][H],CO,[In].[Fe],59.21999999999999,1.0,249.85,40.0,5.0,36.0,2.0,89.6,themecat
themecat-150,O=C=O,[H][H],CO,[In].[Fe],64.66,1.0,249.85,40.0,5.0,42.0,2.0,89.6,themecat
themecat-151,O=C=O,[H][H],CO,[In].[Fe],70.86,1.0,249.85,40.0,5.0,48.0,2.0,89.6,themecat
themecat-152,O=C=O,[H][H],CO,[In].[Fe],15.28,1.0,249.85,10.0,5.0,12.0,2.0,89.6,themecat
themecat-153,O=C=O,[H][H],CO,[In].[Fe],17.84,1.0,249.85,20.0,5.0,12.0,2.0,89.6,themecat
themecat-154,O=C=O,[H][H],CO,[In].[Fe],24.55,1.0,249.85,30.0,5.0,12.0,2.0,89.6,themecat
themecat-155,O=C=O,[H][H],CO,[In].[Fe],31.380000000000003,1.0,249.85,40.0,5.0,12.0,2.0,89.6,themecat
themecat-156,O=C=O,[H][H],CO,[In].[Fe],32.39,1.0,249.85,50.0,5.0,12.0,2.0,89.6,themecat
themecat-157,O=C=O,[H][H],CO,[In].[Fe],33.660000000000004,1.0,249.85,60.0,5.0,12.0,2.0,89.6,themecat
themecat-158,O=C=O,[H][H],CO,[In].[Fe],34.93,1.0,249.85,40.0,3.0,12.0,2.0,89.6,themecat
themecat-159,O=C=O,[H][H],CO,[In].[Fe],39.019999999999996,1.0,249.85,40.0,4.0,15.0,2.0,89.6,themecat
themecat-160,O=C=O,[H][H],CO,[In].[Fe],46.58,1.0,249.85,40.0,5.0,18.0,2.0,89.6,themecat
themecat-161,O=C=O,[H][H],CO,[In].[Fe],57.32000000000001,1.0,249.85,40.0,8.0,27.0,2.0,89.6,themecat
themecat-162,O=C=O,[H][H],CO,[In].[Fe],68.28,1.0,249.85,40.0,10.0,33.0,2.0,89.6,themecat
themecat-163,O=C=O,[H][H],CO,[In].[Fe],31.89,1.0,259.85,40.0,5.0,12.0,2.0,89.6,themecat
themecat-164,O=C=O,[H][H],CO,[In].[Fe],31.05,1.0,249.85,40.0,5.0,12.0,2.0,89.6,themecat
themecat-165,O=C=O,[H][H],CO,[In].[Fe],25.040000000000003,1.0,239.85,40.0,5.0,12.0,2.0,89.6,themecat
themecat-166,O=C=O,[H][H],CO,[In].[Fe],21.48,1.0,219.85,40.0,5.0,12.0,2.0,89.6,themecat
themecat-167,O=C=O,[H][H],CO,[In].[Fe],18.8,1.0,199.85,40.0,5.0,12.0,2.0,89.6,themecat
themecat-168,O=C=O,[H][H],CO,[In].[Al],21.39,1.0,324.85,40.0,3.0,21.6,2.0,93.3,themecat
themecat-169,O=C=O,[H][H],CO,[In].[Al],20.76,1.0,349.85,40.0,3.0,21.6,2.0,93.3,themecat
themecat-170,O=C=O,[H][H],CO,[In].[Al],19.650000000000002,1.0,349.85,40.0,3.0,21.6,2.0,95.1,themecat
themecat-171,O=C=O,[H][H],CO,[In].[Al],17.07,1.0,324.85,40.0,3.0,21.6,2.0,95.1,themecat
themecat-172,O=C=O,[H][H],CO,[In].[Al],16.18,1.0,299.85,40.0,3.0,21.6,2.0,93.3,themecat
themecat-173,O=C=O,[H][H],CO,[In].[Al],15.740000000000002,1.0,349.85,40.0,3.0,21.6,2.0,50.0,themecat
themecat-174,O=C=O,[H][H],CO,[In].[Al],14.719999999999999,1.0,324.85,40.0,3.0,21.6,2.0,96.2,themecat
themecat-175,O=C=O,[H][H],CO,[In].[Al],14.530000000000001,1.0,349.85,40.0,3.0,21.6,2.0,96.2,themecat
themecat-176,O=C=O,[H][H],CO,[In].[Al],12.72,1.0,349.85,40.0,3.0,21.6,2.0,97.6,themecat
themecat-177,O=C=O,[H][H],CO,[In].[Al],11.61,1.0,324.85,40.0,3.0,21.6,2.0,50.0,themecat
themecat-178,O=C=O,[H][H],CO,[In].[Al],11.53,1.0,299.85,40.0,3.0,21.6,2.0,50.0,themecat
themecat-179,O=C=O,[H][H],CO,[In].[Al],11.379999999999999,1.0,324.85,40.0,3.0,21.6,2.0,50.0,themecat
themecat-180,O=C=O,[H][H],CO,[In].[Al],11.24,1.0,324.85,40.0,3.0,21.6,2.0,97.6,themecat
themecat-181,O=C=O,[H][H],CO,[In].[Al],10.67,1.0,299.85,40.0,3.0,21.6,2.0,95.1,themecat
themecat-182,O=C=O,[H][H],CO,[In].[Al],9.879999999999999,1.0,274.85,40.0,3.0,21.6,2.0,93.3,themecat
themecat-183,O=C=O,[H][H],CO,[In].[Al],9.13,1.0,349.85,40.0,3.0,21.6,2.0,50.0,themecat
themecat-184,O=C=O,[H][H],CO,[In].[Al],8.290000000000001,1.0,299.85,40.0,3.0,21.6,2.0,50.0,themecat
themecat-185,O=C=O,[H][H],CO,[In].[Al],7.8,1.0,299.85,40.0,3.0,21.6,2.0,96.2,themecat
themecat-186,O=C=O,[H][H],CO,[In].[Al],7.5,1.0,249.85,40.0,3.0,21.6,2.0,93.3,themecat
themecat-187,O=C=O,[H][H],CO,[In].[Al],7.35,1.0,274.85,40.0,3.0,21.6,2.0,50.0,themecat
themecat-188,O=C=O,[H][H],CO,[In].[Al],6.619999999999999,1.0,274.85,40.0,3.0,21.6,2.0,95.1,themecat
themecat-189,O=C=O,[H][H],CO,[In].[Al],6.39,1.0,274.85,40.0,3.0,21.6,2.0,50.0,themecat
themecat-190,O=C=O,[H][H],CO,[In].[Al],5.36,1.0,249.85,40.0,3.0,21.6,2.0,50.0,themecat
themecat-191,O=C=O,[H][H],CO,[In].[Al],5.33,1.0,274.85,40.0,3.0,21.6,2.0,96.2,themecat
themecat-192,O=C=O,[H][H],CO,[In].[Al],4.2299999999999995,1.0,249.85,40.0,3.0,21.6,2.0,50.0,themecat
themecat-193,O=C=O,[H][H],CO,[In].[Al],4.109999999999999,1.0,249.85,40.0,3.0,21.6,2.0,95.1,themecat
themecat-194,O=C=O,[H][H],CO,[In].[Al],3.74,1.0,299.85,40.0,3.0,21.6,2.0,97.6,themecat
themecat-195,O=C=O,[H][H],CO,[In].[Al],3.26,1.0,249.85,40.0,3.0,21.6,2.0,96.2,themecat
themecat-196,O=C=O,[H][H],CO,[In].[Al],2.92,1.0,274.85,40.0,3.0,21.6,2.0,97.6,themecat
themecat-197,O=C=O,[H][H],CO,[In].[Al],1.87,1.0,249.85,40.0,3.0,21.6,2.0,97.6,themecat
themecat-198,O=C=O,[H][H],CO,[In].[Zr],0.67,1.0,249.85,50.0,4.0,18.0,2.0,99.78,themecat
themecat-199,O=C=O,[H][H],CO,[In].[Zr],1.21,1.0,249.85,50.0,4.0,18.0,2.0,99.62,themecat
themecat-200,O=C=O,[H][H],CO,[In].[Zr],1.53,1.0,249.85,50.0,4.0,18.0,2.0,99.35,themecat
themecat-201,O=C=O,[H][H],CO,[In].[Zr],1.55,1.0,279.85,50.0,4.0,18.0,2.0,99.78,themecat
themecat-202,O=C=O,[H][H],CO,[In].[Zr],3.53,1.0,279.85,50.0,4.0,18.0,2.0,99.62,themecat
themecat-203,O=C=O,[H][H],CO,[In].[Zr],4.73,1.0,279.85,50.0,4.0,18.0,2.0,99.35,themecat
